Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Theology 1-9,HATFIELD,
ENG110,S1,G02,E,L1,Tuesday,07:30 - 08:20,Thuto 1-1,HATFIELD,
ENG110,S1,G02,E,L2,Wednesday,13:30 - 14:20,Thuto 1-1,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 1-4,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-1,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-12,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-16,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-5,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-6,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-7,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,HB 4-8,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,IT 2-24,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,IT 2-26,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,IT 4-2,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,IT 4-3,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,IT 4-5,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,Theology 1-19,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,Theology 1-25,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,Theology 1-28,HATFIELD,
ENG110,S1,G02,E,L3,Friday,07:30 - 08:20,Theology 1-9,HATFIELD,
ENG110,S1,G51,E,L1,Tuesday,09:30 - 10:20,Aldoel 2,GROENKLOOF,
ENG110,S1,G51,E,L2,Thursday,14:30 - 15:20,Aldoel 2,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 1-133,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 2-42,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 2-83/84,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 2-89/90,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 2-97,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 3-12,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 3-22,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 3-25,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 3-26,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Aldoel Bld 3-27,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Lecture Theatre L1,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Lecture Theatre L4,GROENKLOOF,
ENG110,S1,G51,E,L3,Friday,11:30 - 12:20,Lecture Theatre L9,GROENKLOOF,
ENG118,S1,G01,E,L1,Monday,09:30 - 10:20,Thuto 1-1,HATFIELD,
ENG118,S1,G01,E,L2,Friday,11:30 - 12:20,Thuto 1-2,HATFIELD,
